map:159
grid14	-7259.0	3410.0
grid14	-7257.0	3410.0
grid14	-7256.0	3409.0
grid14	-7255.0	3408.0
grid14	-7252.0	3404.0
grid14	-7271.0	3406.0
grid14	-7285.0	3407.0
grid14	-7285.0	3448.0
grid14	-7270.0	3448.0
grid14	-7270.0	3452.0
NA	NA	NA
grid15	-7060.0	3529.0
grid15	-7062.0	3526.0
grid15	-7062.0	3526.0
grid15	-7067.0	3529.0
grid15	-7068.0	3531.0
grid15	-7070.0	3535.0
grid15	-7070.0	3536.0
grid15	-7073.0	3536.0
grid15	-7074.0	3538.0
grid15	-7076.0	3538.0
grid15	-7078.0	3539.0
grid15	-7078.0	3540.0
grid15	-7080.0	3541.0
grid15	-7081.0	3543.0
grid15	-7081.0	3545.0
grid15	-7084.0	3547.0
grid15	-7085.0	3550.0
grid15	-7085.0	3552.0
grid15	-7087.0	3552.0
grid15	-7088.0	3552.0
grid15	-7090.0	3553.0
grid15	-7091.0	3552.0
grid15	-7092.0	3552.0
grid15	-7094.0	3552.0
grid15	-7095.0	3553.0
grid15	-7097.0	3554.0
grid15	-7097.0	3557.0
grid15	-7099.0	3561.0
grid15	-7102.0	3563.0
grid15	-7104.0	3566.0
grid15	-7107.0	3567.0
grid15	-7110.0	3568.0
grid15	-7112.0	3571.0
grid15	-7113.0	3574.0
grid15	-7109.0	3575.0
grid15	-7106.0	3576.0
grid15	-7083.0	3584.0
grid15	-7079.0	3568.0
grid15	-7074.0	3560.0
grid15	-7073.0	3557.0
grid15	-7073.0	3554.0
grid15	-7070.0	3554.0
grid15	-7070.0	3550.0
grid15	-7068.0	3550.0
grid15	-7067.0	3548.0
grid15	-7067.0	3545.0
grid15	-7065.0	3545.0
grid15	-7065.0	3544.0
grid15	-7064.0	3545.0
grid15	-7063.0	3547.0
grid15	-7062.0	3547.0
grid15	-7063.0	3545.0
grid15	-7062.0	3545.0
grid15	-7060.0	3545.0
grid15	-7058.0	3540.0
grid15	-7059.0	3536.0
grid15	-7060.0	3536.0
grid15	-7061.0	3535.0
